"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes","vendor","task","canonical_id"
"movie_v1","nonrag","claude","c","utelly__lookup_movie","1","89.5","uTelly Movie Lookup API","https://rapidapi.com/utelly/api/utelly","https://utelly-tv-shows-and-movies-availability-v1.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:32Z","0.345","True","False","False","False","True","0","GET","429","40","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","claude","t","moviedb-rapidapi","1","95.5","Movie Database Alternative (RapidAPI)","https://rapidapi.com/SAdrian/api/moviesdatabase","https://moviesdatabase.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","23","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","claude","v","rapidapi__imdb","1","93.5","IMDb API via RapidAPI","https://rapidapi.com/apidojo/api/imdb8","https://imdb8.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:31Z","0.345","True","False","False","False","True","0","GET","429","30","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","deepseek","c","imdb__title_search","1","95.3","IMDb API via RapidAPI","https://rapidapi.com/rapidapi/api/movie-database-imdb-alternative/","https://movie-database-imdb-alternative.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:29Z","0.345","True","False","False","False","True","0","GET","429","34","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","deepseek","t","movie-database-alternative","1","97.2","The Movie Database Alternative","https://rapidapi.com/rapidapi/api/movie-database-alternative/","https://movie-database-alternative.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:30Z","0.291","True","False","False","False","False","0","GET","429","44","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","deepseek","v","imdb__alternative_search","1","99","IMDb Alternative API (via RapidAPI)","https://rapidapi.com/rapidapi/api/movie-database-alternative/","https://movie-database-alternative.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:29Z","0.345","True","False","False","False","True","0","GET","429","41","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","gemini","c","imdbapi_com__search_get_details","1","95","IMDb API (imdb-api.com via RapidAPI)","https://rapidapi.com/apidojo/api/imdb-api.com","imdb-api.p.rapidapi.com","False","0.25","0","False","True","False","False","2025-10-28T22:41:29Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1","","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","gemini","t","rapidapi_movie_db_alt","1","100","Movie Database Alternative (RapidAPI)","https://rapidapi.com/anarmammad/api/movie-database-alternative","https://movie-database-alternative.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:31Z","0.291","True","False","False","False","False","0","GET","429","41","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","gemini","v","movie_of_the_night__search","1","100","Movie of the Night API (RapidAPI)","https://rapidapi.com/movienight/api/movie-of-the-night","https://movie-of-the-night.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T22:41:30Z","0.345","True","False","False","False","True","0","GET","429","32","-1","rapidapi","unknown","rapidapi__unknown"
"movie_v1","nonrag","gpt","c","rapidapi_imdb8__find_and_overview","1","91","IMDb8 (RapidAPI) â€” title/find & get-overview-details","https://rapidapi.com/apidojo/api/imdb8/","https://imdb8.p.rapidapi.com","False","0.25","0.48","False","True","False","False","2025-10-28T22:41:31Z","0.291","True","False","False","False","False","0","GET","429","32","-1","rapidapi","unknown","rapidapi__unknown"
